ano,Instituição,Cod.IBGE,UF,População,codigo_funcao,nome_conta,Conta,Despesas Empenhadas,Despesas Liquidadas,Despesas Pagas,Inscrição de Restos a Pagar Não Processados,Inscrição de Restos a Pagar Processados,diferenca_empenhado_pago,taxa_execucao,restos_a_pagar,restos_sobre_empenhado,pago_per_capita,empenhado_per_capita
2023,Prefeitura Municipal de Porto Velho - RO,1100205,RO,548952,28,Encargos Especiais,28 - Encargos Especiais,131804487.4,129730754.06,147921326.16,2073733.34,2509712.21,-16116838.75999999,112.22783766920517,4583445.55,3.4774578926817323,269.46131202728105,240.1020260423498
2023,Prefeitura Municipal de Porto Velho - RO,1100205,RO,548952,12,Educação,12 - Educação,509360652.26,485194834.11,534101559.8,24165818.15,2530514.94,-24740907.54000002,104.85724749845247,26696333.09,5.241145536379795,972.9476526180796,927.8783067736341
2023,Prefeitura Municipal de Porto Velho - RO,1100205,RO,548952,10,Saúde,10 - Saúde,543437924.51,529753314.43,562515234.52,13684610.08,137321.77,-19077310.00999999,103.51048558622429,13821931.85,2.543424230552694,1024.7075054285256,989.955268420554
2023,Prefeitura Municipal de Porto Velho - RO,1100205,RO,548952,01,Legislativa,01 - Legislativa,53534311.19,52688823.82,54081483.38,845487.37,852.26,-547172.1900000051,101.02209625534925,846339.63,1.5809293352000633,98.51769076349116,97.52093295953016
2024,Prefeitura Municipal de Aracaju - SE,2800308,SE,605309,28,Encargos Especiais,28 - Encargos Especiais,201673513.3,201660001.93,203509021.88,13511.37,101545.47,-1835508.5799999833,100.91013864436901,115056.84,0.057051041615388966,336.2068330059523,333.17448328044026
2023,Prefeitura Municipal de Porto Velho - RO,1100205,RO,548952,13,Cultura,13 - Cultura,6763523.77,6763523.77,6784093.32,0.0,0.0,-20569.550000000745,100.30412475359721,0.0,0.0,12.358263236129936,12.320792655824189
2023,Prefeitura Municipal de Porto Velho - RO,1100205,RO,548952,04,Administração,04 - Administração,518606400.05,491081452.91,520026750.93,27524947.14,677455.17,-1420350.8799999952,100.27387839406978,28202402.310000002,5.438113048215553,947.3082362938836,944.7208500014574
2023,Prefeitura Municipal de Porto Velho - RO,1100205,RO,548952,09,Previdência Social,09 - Previdência Social,187765021.82,187548449.96,188197135.78,216571.86,0.0,-432113.96000000834,100.23013549372057,216571.86,0.11534196193773276,342.8298572188461,342.0426955726548
2024,Prefeitura Municipal de Belém - PA,1501402,PA,1367336,01,Legislativa,01 - Legislativa,132409889.76,132460145.7,132460145.7,-50255.94,0.0,-50255.939999997616,100.03795482353401,-50255.94,-0.037954823534021194,96.87461289690317,96.83785825868696
